Current app: com.mens.haircut.hairstyle	non-overlapping apis #: 251	 all apis #: 251
Current app: com.cyou.cma.clauncher.theme.v53b98c956d45dff41b275823	non-overlapping apis #: 54	 all apis #: 54
Current app: jagadish.android.motocare	non-overlapping apis #: 190	 all apis #: 190
Current app: com.chatews.mexico	non-overlapping apis #: 133	 all apis #: 133
Current app: com.snrblabs.grooveip	non-overlapping apis #: 104	 all apis #: 104
Current app: com.wearablelab.fitnessmate	non-overlapping apis #: 569	 all apis #: 569
Current app: com.arlinku.adventurepointblank	non-overlapping apis #: 340	 all apis #: 340
Current app: com.dlink.mydlink	non-overlapping apis #: 2	 all apis #: 2
Current app: com.riatech.cookbook	non-overlapping apis #: 40	 all apis #: 40
Current app: com.fingertap.human.body.amazingfacts	non-overlapping apis #: 225	 all apis #: 225
Current app: com.moplus.gvphone	non-overlapping apis #: 101	 all apis #: 105
Current app: com.cardsapp.android	non-overlapping apis #: 69	 all apis #: 69
Current app: com.Eyebird.KaraokeVideoSingASong	non-overlapping apis #: 53	 all apis #: 53
Current app: com.akasoft.topplaces	non-overlapping apis #: 734	 all apis #: 734
Current app: com.bsro.tp	non-overlapping apis #: 864	 all apis #: 1041
Current app: com.eapp.emoji.wallpapers_mx	non-overlapping apis #: 3156	 all apis #: 3156
Current app: com.qrbarcode.qrbarcodeScanner	non-overlapping apis #: 12	 all apis #: 12
Current app: com.browan.freeppmobile.android	non-overlapping apis #: 751	 all apis #: 1144
Current app: com.babyfish.bests7rts	non-overlapping apis #: 40	 all apis #: 40
Current app: com.soft.wizardaddonforminecraft	non-overlapping apis #: 30	 all apis #: 30
Current app: jp.united.app.ccpl	non-overlapping apis #: 430	 all apis #: 430
Current app: ie.medimonitor.openroadgirl	non-overlapping apis #: 4	 all apis #: 4
Current app: com.usbmis.troposphere.fpnb	non-overlapping apis #: 407	 all apis #: 407
Current app: v.d.d.answercall	non-overlapping apis #: 2	 all apis #: 2
Current app: org.hola	non-overlapping apis #: 351	 all apis #: 356
Current app: com.maspro.descargarmusicagratismp3	non-overlapping apis #: 4	 all apis #: 4
Current app: com.gau.go.launcherex.theme.diamonds.lms	non-overlapping apis #: 12	 all apis #: 2453
Current app: com.fairplayer	non-overlapping apis #: 74	 all apis #: 75
Current app: com.carmellimo.limousine	non-overlapping apis #: 3618	 all apis #: 3618
Current app: com.chownow.buffalowingsandrings	non-overlapping apis #: 1	 all apis #: 1
Current app: com.bottegasol.com.migym.InShape	non-overlapping apis #: 1674	 all apis #: 1674
Current app: air.com.playtika.slotomania	non-overlapping apis #: 329	 all apis #: 329
Current app: com.leafstar.painting.lite	non-overlapping apis #: 84	 all apis #: 84
Current app: com.endomondo.android	non-overlapping apis #: 3144	 all apis #: 3214
Current app: com.jb.gokeyboard.theme.goldgokeyboardtheme.getjar	non-overlapping apis #: 11	 all apis #: 1023
Current app: com.mingle.meetmarket	non-overlapping apis #: 468	 all apis #: 468
Current app: com.mobisystems.ubreader_west	non-overlapping apis #: 13481	 all apis #: 14176
Current app: world.chatrooms2	non-overlapping apis #: 13	 all apis #: 13
Current app: com.jb.gokeyboard.theme.ztbluefire.getjar	non-overlapping apis #: 10	 all apis #: 1253
Current app: com.bigduckgames.flowbridges	non-overlapping apis #: 7	 all apis #: 7
Current app: com.excelatlife.happiness	non-overlapping apis #: 314	 all apis #: 314
Current app: com.tntstudio.tattoo.tattooonphoto	non-overlapping apis #: 116	 all apis #: 116
Current app: com.aceviral.angrygranrun	non-overlapping apis #: 78	 all apis #: 78
